Original RegNo,Department,Semester
922522121001,Biomedical Engineering -A,6
922522121036,Biomedical Engineering -A,6
922522121005,Biomedical Engineering -A,6
922522121017,Biomedical Engineering -A,6
922522121055,Biomedical Engineering -A,6
922522121011,Biomedical Engineering -A,6
922522121004,Biomedical Engineering -A,6
922522121047,Biomedical Engineering -A,6
922522121040,Biomedical Engineering -A,6
922522121021,Biomedical Engineering -A,6
922522121027,Biomedical Engineering -A,6
922522121053,Biomedical Engineering -A,6
922522121043,Biomedical Engineering -A,6
922522121034,Biomedical Engineering -A,6
922522121020,Biomedical Engineering -A,6
922522121044,Biomedical Engineering -A,6
922522121037,Biomedical Engineering -A,6
922522121018,Biomedical Engineering -A,6
922522121002,Biomedical Engineering -A,6
922522121035,Biomedical Engineering -A,6
922522121046,Biomedical Engineering -A,6
922522121057,Biomedical Engineering -A,6
922522121031,Biomedical Engineering -A,6
922522121008,Biomedical Engineering -A,6
922522121054,Biomedical Engineering -A,6
922522121030,Biomedical Engineering -A,6
922522121033,Biomedical Engineering -A,6
922522121056,Biomedical Engineering -A,6
922522121041,Biomedical Engineering -A,6
922522121032,Biomedical Engineering -A,6
922522121025,Biomedical Engineering -A,6
922522121012,Biomedical Engineering -A,6
922522121009,Biomedical Engineering -A,6
922522121038,Biomedical Engineering -A,6
922522121019,Biomedical Engineering -A,6
922522121010,Biomedical Engineering -A,6
922522121052,Biomedical Engineering -A,6
922522121048,Biomedical Engineering -A,6
922522121028,Biomedical Engineering -A,6
922522121006,Biomedical Engineering -A,6
922522121024,Biomedical Engineering -A,6
922522121049,Biomedical Engineering -A,6
922522121015,Biomedical Engineering -A,6
922522121013,Biomedical Engineering -A,6
922522121003,Biomedical Engineering -A,6
922522121014,Biomedical Engineering -A,6
922522121026,Biomedical Engineering -A,6
922522121050,Biomedical Engineering -A,6
922522121301,Biomedical Engineering -A,6
922522121051,Biomedical Engineering -A,6
922522121007,Biomedical Engineering -A,6
922522121022,Biomedical Engineering -A,6
922522121023,Biomedical Engineering -A,6
922524243186,Artificial Intelligence and Data Science -C,2
922524243138,Artificial Intelligence and Data Science -C,2
922524243166,Artificial Intelligence and Data Science -C,2
922524243164,Artificial Intelligence and Data Science -C,2
922524243163,Artificial Intelligence and Data Science -C,2
922522121016,Biomedical Engineering -A,6
922524243167,Artificial Intelligence and Data Science -C,2
922524243125,Artificial Intelligence and Data Science -C,2
922524243169,Artificial Intelligence and Data Science -C,2
922524243128,Artificial Intelligence and Data Science -C,2
922524243161,Artificial Intelligence and Data Science -C,2
922524243157,Artificial Intelligence and Data Science -C,2
922524243149,Artificial Intelligence and Data Science -C,2
922524243148,Artificial Intelligence and Data Science -C,2
922524243158,Artificial Intelligence and Data Science -C,2
922524243172,Artificial Intelligence and Data Science -C,2
922524243133,Artificial Intelligence and Data Science -C,2
922524243151,Artificial Intelligence and Data Science -C,2
922524243124,Artificial Intelligence and Data Science -C,2
922524243170,Artificial Intelligence and Data Science -C,2
922524243183,Artificial Intelligence and Data Science -C,2
922524243134,Artificial Intelligence and Data Science -C,2
922524243127,Artificial Intelligence and Data Science -C,2
922524243137,Artificial Intelligence and Data Science -C,2
922524243180,Artificial Intelligence and Data Science -C,2
922524243178,Artificial Intelligence and Data Science -C,2
922524243147,Artificial Intelligence and Data Science -C,2
922524243176,Artificial Intelligence and Data Science -C,2
922524243153,Artificial Intelligence and Data Science -C,2
922524243171,Artificial Intelligence and Data Science -C,2
922524243150,Artificial Intelligence and Data Science -C,2
922524243168,Artificial Intelligence and Data Science -C,2
922524243182,Artificial Intelligence and Data Science -C,2
922524243132,Artificial Intelligence and Data Science -C,2
922524243131,Artificial Intelligence and Data Science -C,2
922524243154,Artificial Intelligence and Data Science -C,2
922524243130,Artificial Intelligence and Data Science -C,2
922524243141,Artificial Intelligence and Data Science -C,2
922524243145,Artificial Intelligence and Data Science -C,2
922524243155,Artificial Intelligence and Data Science -C,2
922524243126,Artificial Intelligence and Data Science -C,2
922524243156,Artificial Intelligence and Data Science -C,2
922524243179,Artificial Intelligence and Data Science -C,2
922524243165,Artificial Intelligence and Data Science -C,2
922524243136,Artificial Intelligence and Data Science -C,2
922524243184,Artificial Intelligence and Data Science -C,2
922524243152,Artificial Intelligence and Data Science -C,2
922523121016,Biomedical Engineering -A,4
922523121007,Biomedical Engineering -A,4
922523121008,Biomedical Engineering -A,4
922523121045,Biomedical Engineering -A,4
922523121010,Biomedical Engineering -A,4
922523121032,Biomedical Engineering -A,4
922523121056,Biomedical Engineering -A,4
922523121058,Biomedical Engineering -A,4
922523121002,Biomedical Engineering -A,4
922523121035,Biomedical Engineering -A,4
922523121012,Biomedical Engineering -A,4
922523121059,Biomedical Engineering -A,4
922523244017,Computer Science and Business Systems -A,4
